model_type	feature_set	outer_repeat	outer_fold	outer_split	n_train	n_test	n_train_low	n_train_high	n_test_low	n_test_high	n_input_features	n_after_variance	n_selected_features	best_k	best_c	best_inner_balanced_accuracy	fit_seconds	accuracy	balanced_accuracy	roc_auc_low	precision_low	recall_low	f1_low	mcc	true_low_pred_low	true_low_pred_high	true_high_pred_low	true_high_pred_high
logistic_regression	residue_cofactor	4	5	20	67	16	21	46	5	11	83	77	10	10	1.0	0.7388888888888887	1.7538956980060902	0.5	0.4181818181818182	0.38181818181818183	0.2	0.2	0.2	-0.16363636363636364	1	4	4	7
logistic_regression	residue_cofactor	5	1	21	66	17	20	46	6	11	83	77	5	5	0.1	0.6105555555555556	1.6727883869971265	0.6470588235294118	0.6515151515151515	0.606060606060606	0.5	0.6666666666666666	0.5714285714285714	0.29012942659282975	4	2	4	7
logistic_regression	residue_cofactor	5	2	22	66	17	21	45	5	12	83	77	20	20	10.0	0.6377777777777778	1.706996289001836	0.5882352941176471	0.475	0.5	0.25	0.2	0.2222222222222222	-0.053708615552957466	1	4	3	9
logistic_regression	residue_cofactor	5	3	23	66	17	21	45	5	12	83	77	10	10	0.01	0.6338888888888888	1.6558042039978318	0.7058823529411765	0.675	0.6833333333333333	0.5	0.6	0.5454545454545454	0.3337119062359573	3	2	3	9
logistic_regression	residue_cofactor	5	4	24	67	16	21	46	5	11	83	77	20	20	0.01	0.6288888888888889	1.711309127000277	0.6875	0.7181818181818183	0.7454545454545454	0.5	0.8	0.6153846153846154	0.40451991747794525	4	1	4	7
logistic_regression	residue_cofactor	5	5	25	67	16	21	46	5	11	83	77	5	5	0.01	0.5455555555555556	1.6543390240040026	0.75	0.7090909090909091	0.7636363636363637	0.6	0.6	0.6	0.41818181818181815	3	2	2	9
logistic_regression	residue_residue	1	1	1	66	17	20	46	6	11	3982	3971	20	20	0.1	0.6877777777777777	8.166994088998763	0.5294117647058824	0.48484848484848486	0.5909090909090909	0.3333333333333333	0.3333333333333333	0.3333333333333333	-0.030303030303030304	2	4	4	7
logistic_regression	residue_residue	1	2	2	66	17	21	45	5	12	3982	3970	5	5	100.0	0.66	8.0745984890018	0.8823529411764706	0.8583333333333334	0.8166666666666667	0.8	0.8	0.8	0.7166666666666667	4	1	1	11
logistic_regression	residue_residue	1	3	3	66	17	21	45	5	12	3982	3971	10	10	1.0	0.6133333333333333	8.07142073900468	0.7058823529411765	0.675	0.8	0.5	0.6	0.5454545454545454	0.3337119062359573	3	2	3	9
logistic_regression	residue_residue	1	4	4	67	16	21	46	5	11	3982	3971	50	50	1.0	0.6716666666666666	8.092597329996352	0.75	0.6	0.4	1.0	0.2	0.3333333333333333	0.38297084310253526	1	4	0	11
logistic_regression	residue_residue	1	5	5	67	16	21	46	5	11	3982	3971	5	5	1.0	0.7022222222222222	8.126928983001562	0.5	0.4727272727272727	0.6545454545454545	0.2857142857142857	0.4	0.3333333333333333	-0.050964719143762556	2	3	5	6
logistic_regression	residue_residue	2	1	6	66	17	20	46	6	11	3982	3971	20	20	0.1	0.6772222222222222	8.03204277199984	0.5882352941176471	0.606060606060606	0.5606060606060606	0.4444444444444444	0.6666666666666666	0.5333333333333333	0.2030905986149808	4	2	5	6
logistic_regression	residue_residue	2	2	7	66	17	21	45	5	12	3982	3971	50	50	1.0	0.5322222222222222	8.084840504001477	0.8235294117647058	0.7583333333333333	0.8166666666666667	0.75	0.6	0.6666666666666666	0.5549890273805606	3	2	1	11
logistic_regression	residue_residue	2	3	8	66	17	21	45	5	12	3982	3970	5	5	100.0	0.5905555555555555	8.085602523999114	0.8823529411764706	0.8583333333333334	0.8166666666666668	0.8	0.8	0.8	0.7166666666666667	4	1	1	11
logistic_regression	residue_residue	2	4	9	67	16	21	46	5	11	3982	3971	20	20	1.0	0.7022222222222222	8.149418608001724	0.75	0.7090909090909091	0.8363636363636364	0.6	0.6	0.6	0.41818181818181815	3	2	2	9
logistic_regression	residue_residue	2	5	10	67	16	21	46	5	11	3982	3971	50	50	100.0	0.6727777777777778	8.025397387005796	0.5625	0.5727272727272728	0.4727272727272727	0.375	0.6	0.46153846153846156	0.13483997249264842	3	2	5	6
