feature_set	display_label	permutation_id	null_mean_balanced_accuracy	observed_mean_balanced_accuracy	n_null_ge_observed	permutation_p_value
residue_residue	Residue–residue	7	0.4669090909090909	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	8	0.473969696969697	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	9	0.5477878787878787	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	10	0.5185757575757575	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	11	0.4655151515151515	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	12	0.5295454545454545	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	13	0.395060606060606	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	14	0.4994242424242424	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	15	0.4279090909090909	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	16	0.4350303030303031	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	17	0.5464848484848485	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	18	0.4655151515151515	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	19	0.4374848484848486	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	20	0.5696363636363637	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	21	0.428	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	22	0.5001515151515151	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	23	0.5145151515151515	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	24	0.4778181818181818	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	25	0.5195454545454545	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	26	0.4416969696969697	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	27	0.3864848484848484	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	28	0.4712121212121213	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	29	0.4596363636363636	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	30	0.5193030303030303	0.6427878787878787	0	0.032258064516129
combined_all	Combined	1	0.3960909090909091	0.6236060606060606	0	0.032258064516129
combined_all	Combined	2	0.5390303030303031	0.6236060606060606	0	0.032258064516129
combined_all	Combined	3	0.488030303030303	0.6236060606060606	0	0.032258064516129
combined_all	Combined	4	0.5363030303030303	0.6236060606060606	0	0.032258064516129
combined_all	Combined	5	0.5356969696969697	0.6236060606060606	0	0.032258064516129
combined_all	Combined	6	0.5297575757575758	0.6236060606060606	0	0.032258064516129
combined_all	Combined	7	0.4708787878787879	0.6236060606060606	0	0.032258064516129
combined_all	Combined	8	0.4711515151515152	0.6236060606060606	0	0.032258064516129
combined_all	Combined	9	0.5531515151515152	0.6236060606060606	0	0.032258064516129
combined_all	Combined	10	0.5289090909090909	0.6236060606060606	0	0.032258064516129
combined_all	Combined	11	0.4608484848484848	0.6236060606060606	0	0.032258064516129
combined_all	Combined	12	0.5305151515151515	0.6236060606060606	0	0.032258064516129
combined_all	Combined	13	0.3902121212121212	0.6236060606060606	0	0.032258064516129
combined_all	Combined	14	0.5207272727272728	0.6236060606060606	0	0.032258064516129
combined_all	Combined	15	0.4279090909090909	0.6236060606060606	0	0.032258064516129
combined_all	Combined	16	0.4306060606060606	0.6236060606060606	0	0.032258064516129
combined_all	Combined	17	0.548969696969697	0.6236060606060606	0	0.032258064516129
combined_all	Combined	18	0.4634848484848485	0.6236060606060606	0	0.032258064516129
combined_all	Combined	19	0.4235757575757576	0.6236060606060606	0	0.032258064516129
combined_all	Combined	20	0.5635757575757576	0.6236060606060606	0	0.032258064516129
combined_all	Combined	21	0.4359090909090909	0.6236060606060606	0	0.032258064516129
combined_all	Combined	22	0.4934848484848484	0.6236060606060606	0	0.032258064516129
combined_all	Combined	23	0.5095454545454546	0.6236060606060606	0	0.032258064516129
combined_all	Combined	24	0.5059393939393939	0.6236060606060606	0	0.032258064516129
combined_all	Combined	25	0.5329999999999999	0.6236060606060606	0	0.032258064516129
combined_all	Combined	26	0.462030303030303	0.6236060606060606	0	0.032258064516129
combined_all	Combined	27	0.410030303030303	0.6236060606060606	0	0.032258064516129
combined_all	Combined	28	0.4998787878787879	0.6236060606060606	0	0.032258064516129
combined_all	Combined	29	0.4633939393939393	0.6236060606060606	0	0.032258064516129
combined_all	Combined	30	0.5226363636363637	0.6236060606060606	0	0.032258064516129
