permutation_id	feature_set	n_outer_folds	mean_balanced_accuracy	std_balanced_accuracy	mean_roc_auc_low	std_roc_auc_low	mean_mcc	std_mcc	elapsed_seconds
13	residue_ligand	25	0.5367272727272728	0.10924514734834362	0.5750909090909091	0.1403486737720325	0.07255982190872712	0.21084759459283117	31.14717749600095
13	residue_cofactor	25	0.4882121212121212	0.09083253299956592	0.5097575757575757	0.115602585435674	-0.023218476962685402	0.1742066710909738	41.771674628000255
13	residue_residue	25	0.39506060606060606	0.10559469273482384	0.36157575757575755	0.11335223739060908	-0.21020717501009106	0.20072848355564268	202.28653299699909
13	combined_all	25	0.39021212121212123	0.12377709885928091	0.3486666666666667	0.11567309440358692	-0.21237826079454958	0.2359653520260482	207.85201804900134
14	residue_ligand	25	0.5896363636363636	0.10425013185035914	0.6001212121212122	0.14216740219872445	0.17037782956671346	0.19679299301895833	31.476212045001375
14	residue_cofactor	25	0.5232727272727273	0.13862265345907754	0.5352121212121213	0.18405208053746186	0.04341348336445611	0.26442076945554904	41.89659512899925
14	residue_residue	25	0.49942424242424244	0.11437873669800593	0.4855757575757576	0.1418293777416103	-0.002736260379688422	0.22202534554306017	202.02716184100063
14	combined_all	25	0.5207272727272728	0.11824288599643723	0.5063030303030304	0.13952403898010224	0.046808612700103544	0.2321543303395351	208.6703218219991
15	residue_ligand	25	0.5163939393939394	0.10719694292750495	0.4943030303030303	0.11021645092491518	0.02903519707239491	0.2040948059344846	31.44314273099917
15	residue_cofactor	25	0.509	0.12859245422553595	0.48478787878787877	0.16137518334936357	0.017941103620004284	0.2614692132163055	42.615935443000126
15	residue_residue	25	0.4279090909090909	0.07661718119881171	0.41406060606060613	0.14118139215660255	-0.14502136712406874	0.1534812656683766	203.85742646400104
15	combined_all	25	0.4279090909090909	0.08063191419137138	0.41200000000000003	0.14134823500282714	-0.14388165237789718	0.16115854340154767	209.37071747000118
16	residue_ligand	25	0.5742424242424243	0.11694161979187302	0.6092121212121212	0.12047353893834167	0.14192621961573967	0.22472167138965354	31.518156733998694
16	residue_cofactor	25	0.4614545454545454	0.09296865245748832	0.39654545454545465	0.13605571294434274	-0.07668214223023283	0.179876573897396	43.66922363199956
16	residue_residue	25	0.4350303030303031	0.14445966579402816	0.3961212121212121	0.1310380374099062	-0.1238107452081025	0.28025824555746415	203.03385506099949
16	combined_all	25	0.4306060606060606	0.12956686573604997	0.3987878787878788	0.15008542613882103	-0.1324794828702656	0.25168697432407067	207.69056700999863
17	residue_ligand	25	0.5491515151515152	0.09121825585934104	0.5546060606060607	0.08463343056757036	0.09932102291495357	0.18316309916637794	31.105528242998844
17	residue_cofactor	25	0.5365454545454544	0.14908840691420883	0.5673939393939395	0.17232537862649075	0.07598830712958814	0.29034649820681274	41.890553383000224
17	residue_residue	25	0.5464848484848485	0.11835669203873521	0.5792121212121212	0.12406562315604203	0.09296805382653106	0.23047496630846281	202.37736842400045
17	combined_all	25	0.548969696969697	0.11593134565516704	0.5938787878787879	0.12055652883705752	0.09182569941584479	0.21997121292085778	208.02922983399912
18	residue_ligand	25	0.6233030303030302	0.12085792631527839	0.6406666666666666	0.14473707731200583	0.24167004648345414	0.24312763701552043	31.092527295000764
18	residue_cofactor	25	0.4817878787878789	0.14040185122920895	0.4718787878787879	0.14276104599449924	-0.038162127092490124	0.27081660372356914	41.825088571999004
18	residue_residue	25	0.46551515151515155	0.08833993859255088	0.43157575757575756	0.14014037629773413	-0.07031144625742902	0.1743698475759146	202.70632302800004
18	combined_all	25	0.4634848484848485	0.08548781723868658	0.44236363636363635	0.12534348277682822	-0.07024415839054579	0.16496146363874165	209.46589486899938
19	residue_ligand	25	0.41230303030303034	0.09568981548030293	0.3530909090909091	0.11695366771417114	-0.17483699574233394	0.1969033522241108	31.509595662999345
19	residue_cofactor	25	0.5094545454545455	0.13810911497810974	0.46545454545454545	0.15619906577232834	0.015525952525930902	0.2637512076007508	42.20895112499966
19	residue_residue	25	0.4374848484848486	0.09477297959578519	0.41915151515151516	0.11143651844479727	-0.1261442383641091	0.189616729613934	204.43916203000117
19	combined_all	25	0.42357575757575766	0.08818149276207789	0.40987878787878784	0.09472032035338658	-0.15277501974670046	0.18020848082442056	209.9232603720011
20	residue_ligand	25	0.5204848484848484	0.11591352239498572	0.5186666666666667	0.14568303287180662	0.039456048400406764	0.22606716661402876	31.133087817999694
20	residue_cofactor	25	0.5464848484848486	0.138991562141359	0.5524242424242424	0.16600534544666215	0.08679871754165308	0.2699043437661283	41.835272368000005
20	residue_residue	25	0.5696363636363637	0.13607607165033897	0.5752121212121213	0.15392830827816772	0.14036513077572363	0.2702733735731536	204.85903923099977
20	combined_all	25	0.5635757575757576	0.12317110169941473	0.5556363636363637	0.14771077348939798	0.1279119744631877	0.24469522241816802	217.39196093600003
21	residue_ligand	25	0.4329090909090909	0.09606165160505471	0.4167272727272727	0.1332382293971228	-0.1338188516769021	0.18990814878226883	34.5270264589999
